seller_id;seller_reputation+power_seller_status;seller_reputation+level_id;years_antiquity;seller_reputation+metrics+sales+period;n_items;n_subcategories;sold_items;mean_intallments;q10_discount;q50_discount;q90_discount;total_transactions;completed_transactions;canceled_transactions;negative_rating;neutral_rating;positive_rating;total_claims;total_delayed_shipments;total_cancellations;gold_pro;gold_special;label
743887455;Not_medal;4_light_green;2.127310061601643;60 days;2;1;8;24.0;0.5000000000000004;2.500000000000002;4.500000000000004;1554;1386;168;0.14;0.01;0.85;0;0;0;0.5;0.5;8
746116942;gold;5_green;2.116358658453114;60 days;2;2;750;12.0;5.000000000000004;5.000000000000004;5.000000000000004;9556;9166;390;0.1;0.04;0.86;32;8;2;1.0;0.0;7
772951344;Not_medal;5_green;1.9739904175222451;60 days;1;1;25;36.0;0.0;0.0;0.0;502;464;38;0.0;0.0;1.0;8;0;0;0.0;1.0;1
774646071;Not_medal;5_green;1.9657768651608487;60 days;3;2;0;12.0;0.0;0.0;0.0;6579;5835;744;0.33;0.05000000000000001;0.62;57;51;12;1.0;0.0;9
779595619;Not_medal;5_green;1.9383983572895278;365 days;1;1;1;36.0;0.0;0.0;0.0;489;434;55;0.11;0.0;0.89;12;26;3;0.0;1.0;3
780880557;Not_medal;5_green;1.7796030116358659;365 days;3;2;10;36.0;0.0;0.0;0.0;297;270;27;0.19000000000000003;0.0;0.81;0;21;3;0.0;1.0;3
783517560;Not_medal;5_green;1.9164955509924708;60 days;1;1;5;12.0;5.11644340114138;5.11644340114138;5.11644340114138;780;731;49;0.89;0.0;0.11;1;0;0;1.0;0.0;9
790650727;silver;5_green;1.8809034907597535;60 days;1;1;5;12.0;0.0;0.0;0.0;1937;1815;122;0.04;0.02;0.94;3;0;3;1.0;0.0;2
797943608;Not_medal;5_green;1.842573579739904;60 days;2;1;6;36.0;0.5000000000000004;2.500000000000002;4.500000000000004;404;360;44;0.16;0.0;0.84;6;16;2;0.0;1.0;1
814641075;Not_medal;4_light_green;1.757700205338809;365 days;1;1;25;36.0;0.0;0.0;0.0;164;140;24;0.0;0.0;1.0;0;0;0;0.0;1.0;8
817228937;Not_medal;5_green;1.7440109514031485;365 days;2;2;4;36.0;0.0;0.0;0.0;38;32;6;1.0;0.0;0.0;0;0;0;0.0;1.0;3
820399999;silver;5_green;1.727583846680356;60 days;1;1;5;12.0;0.0;0.0;0.0;3065;2889;176;0.16;0.03;0.81;0;0;0;1.0;0.0;2
821441767;silver;5_green;1.7221081451060918;60 days;1;1;5;36.0;0.0;0.0;0.0;1103;1012;91;0.03;0.0;0.97;0;0;0;0.0;1.0;5
822638329;Not_medal;3_yellow;1.7166324435318274;60 days;1;1;5;36.0;0.0;0.0;0.0;1720;1563;157;0.07;0.06;0.87;4;2;2;0.0;1.0;8
825475401;platinum;5_green;1.702943189596167;60 days;4;3;553;12.0;0.0;0.0;0.0;65040;61196;3844;0.07;0.02;0.91;60;8;24;1.0;0.0;2
826760843;gold;5_green;1.6974674880219027;60 days;1;1;25;36.0;0.0;0.0;0.0;4928;4639;289;0.1;0.05;0.85;3;0;0;0.0;1.0;0
829311633;platinum;5_green;1.6837782340862424;60 days;16;5;1124;36.0;0.0;0.0;0.0;325088;305008;20080;0.18;0.07;0.75;1616;6288;16;0.0;1.0;4
1000784474;Not_medal;2_orange;1.626283367556468;365 days;1;1;5;36.0;0.0;0.0;0.0;59;53;6;0.0;0.0;1.0;4;4;0;0.0;1.0;3
1020552830;Not_medal;5_green;1.4428473648186173;365 days;9;1;26;36.0;0.0;0.0;0.0;2970;2754;216;0.0;0.02;0.98;63;45;0;0.0;1.0;3
1022370671;Not_medal;0_Not_type;1.5277207392197125;365 days;1;1;5;12.0;0.0;0.0;0.0;6;2;4;0.0;0.0;1.0;1;2;0;1.0;0.0;6
1034407225;gold;5_green;1.4784394250513346;60 days;20;1;50;36.0;0.0;0.0;0.0;33860;31340;2520;0.09;0.03;0.8800000000000001;140;140;20;0.0;1.0;0
1045076679;silver;5_green;1.4373716632443532;60 days;3;1;35;12.0;0.0;0.0;0.0;2229;2166;63;0.0;0.0;1.0;0;0;0;1.0;0.0;2
1048891806;gold;5_green;1.4154688569472964;60 days;1;1;0;36.0;0.0;0.0;0.0;1093;1029;64;0.13;0.02;0.85;1;0;0;0.0;1.0;0
1051017434;gold;5_green;1.4017796030116358;60 days;3;1;32;20.0;0.0;0.0;0.0;4596;4119;477;0.09000000000000001;0.0;0.91;36;6;0;0.6666666666666666;0.3333333333333333;7
1053444006;Not_medal;5_green;1.3908281998631074;365 days;1;1;5;12.0;0.0;0.0;0.0;168;153;15;0.7;0.0;0.3;2;10;2;1.0;0.0;6
1059924855;gold;5_green;1.3607118412046544;60 days;40;1;436;36.0;0.0;0.0;0.0;215400;173000;42400;0.33;0.05;0.62;440;80;120;0.0;1.0;0
1062985619;Not_medal;5_green;1.3442847364818618;60 days;1;1;5;36.0;0.0;0.0;0.0;678;602;76;0.2;0.07;0.73;1;0;0;0.0;1.0;1
1066063779;silver;5_green;1.3278576317590691;60 days;2;1;75;36.0;0.0;0.0;0.0;4338;4116;222;0.11;0.09;0.8;8;4;0;0.0;1.0;5
1071743693;Not_medal;4_light_green;1.3032169746748803;60 days;3;1;2;36.0;0.0;0.0;0.0;4356;3876;480;0.5;0.04;0.46;0;0;0;0.0;1.0;8
1071946105;silver;5_green;1.3004791238877482;60 days;1;1;5;36.0;0.0;0.0;0.0;574;521;53;0.03;0.0;0.97;2;10;0;0.0;1.0;5
1073404374;Not_medal;5_green;1.2950034223134839;365 days;3;1;11;12.0;0.0;0.0;0.0;198;183;15;0.0;0.0;1.0;3;9;0;1.0;0.0;6
1075372014;Not_medal;4_light_green;1.2840520191649556;365 days;5;1;8;36.0;0.0;0.0;0.0;355;320;35;0.34;0.0;0.66;0;0;0;0.0;1.0;8
1083219368;gold;5_green;1.2457221081451062;60 days;2;2;1000;12.0;0.0;0.0;0.0;17144;16356;788;0.02;0.02;0.96;10;6;0;1.0;0.0;7
1087126076;Not_medal;5_green;1.2265571526351813;365 days;4;1;8;36.0;0.0;0.0;0.0;156;132;24;0.0;1.0;0.0;0;0;0;0.0;1.0;3
1091466329;silver;5_green;1.2046543463381245;60 days;2;1;50;36.0;0.0;0.0;0.0;3360;3188;172;0.09;0.06;0.85;8;22;0;0.0;1.0;5
1095422460;Not_medal;4_light_green;1.1854893908281998;365 days;1;1;3;36.0;5.000000000000004;5.000000000000004;5.000000000000004;191;177;14;0.0;0.0;1.0;0;0;0;0.0;1.0;8
1103047909;Not_medal;5_green;1.1471594798083504;60 days;1;1;50;12.0;0.0;0.0;0.0;589;565;24;0.5;0.0;0.5;3;12;0;1.0;0.0;9
1110562055;Not_medal;5_green;1.108829568788501;365 days;1;1;5;12.0;0.0;0.0;0.0;60;58;2;0.0;1.0;0.0;0;0;0;1.0;0.0;6
1111711343;platinum;5_green;1.103353867214237;60 days;1;1;25;36.0;0.0;0.0;0.0;3477;3386;91;0.0;0.03;0.97;5;16;2;0.0;1.0;4
1112055019;Not_medal;4_light_green;1.1006160164271048;60 days;1;1;25;36.0;0.0;0.0;0.0;800;726;74;0.24;0.0;0.76;0;0;0;0.0;1.0;8
1127885055;Not_medal;5_green;1.0266940451745379;60 days;1;1;5;12.0;0.0;0.0;0.0;276;234;42;0.34;0.2;0.46;4;15;1;1.0;0.0;9
1134625793;Not_medal;3_yellow;0.9965776865160849;365 days;1;1;3;36.0;0.0;0.0;0.0;477;442;35;0.08;0.0;0.92;6;68;4;0.0;1.0;3
1135466811;gold;5_green;0.9938398357289527;60 days;4;3;100;36.0;0.0;0.0;0.0;4600;4156;444;0.1;0.06;0.84;32;52;20;0.0;1.0;0
1143970317;silver;5_green;0.9555099247091033;60 days;1;1;0;36.0;0.0;0.0;0.0;534;517;17;0.0;0.0;1.0;0;0;0;0.0;1.0;5
1144463031;Not_medal;4_light_green;0.9527720739219713;365 days;1;1;5;12.0;0.0;0.0;0.0;46;39;7;0.0;1.0;0.0;0;0;0;1.0;0.0;6
1154645915;gold;5_green;0.9062286105407256;60 days;5;2;183;21.6;0.0;0.0;0.0;7800;7330;470;0.07;0.08;0.85;80;60;0;0.6;0.4;7
1165484176;silver;5_green;0.8569472963723477;60 days;1;1;0;36.0;0.0;0.0;0.0;525;457;68;0.49;0.0;0.51;0;0;0;0.0;1.0;5
1171854787;silver;5_green;0.8268309377138946;60 days;1;1;5;36.0;0.0;0.0;0.0;563;552;11;0.0;0.0;1.0;0;3;0;0.0;1.0;5
